Id Infosiga;Cidade Considerada;Região Administrativa;Ano Óbito;Mês Óbito;Mês Descrição;Sexo;Turno;Tipo Acidente;SubTipo do Acidente;Tipo Veiculo;Faixa Etária;Idade;Tipo Vítima;Tipo Local do Acidente;Dia Semana;Tipo de Via;LAT_(geo);LONG_(geo);Rua / Rodovia;KM Arredondado;Outro Veículo Envolvido;Tempo entre Acidente e o Óbito
9577;ALUMINIO;Sorocaba;2015;9;SETEMBRO;;MANHA;OUTROS;;BICICLETA;65-69;68;CONDUTOR;PUBLICO;TERÇA;Vias Municipais;-2.350.899.846;-4.745.910.385;RUA CLAUDIO MANOEL DA COSTA;564;;Mesmo dia
7767;AMERICANA;Campinas;2015;9;SETEMBRO;MASCULINO;MADRUGADA;COLISAO;;OUTROS;65-69;69;CONDUTOR;PUBLICO;DOMINGO;Rodovias;-22.756.649;-47.254.609;SP 330;120;;Mesmo dia
7766;AMERICANA;Campinas;2015;9;SETEMBRO;MASCULINO;NOITE;COLISAO;;MOTOCICLETA;45-49;49;CONDUTOR;PUBLICO;SÁBADO;Vias Municipais;-2.271.530.988;-4.732.492.552;AVENIDA NICOLAU JOAO ABDALA;ND;;Mesmo dia
9255;AMERICO DE CAMPOS;São José do Rio Preto;2015;9;SETEMBRO;MASCULINO;NOITE;COLISAO;;AUTOMOVEL;25-29;28;CONDUTOR;PUBLICO;DOMINGO;Rodovias;-20.306.831;-49.730.104;SP 479;24;;Mesmo dia
7532;AMPARO;Campinas;2015;9;SETEMBRO;MASCULINO;MANHA;ATROPELAMENTO;;PEDESTRE;0-17;7;PEDESTRE;PUBLICO;SÁBADO;Vias Municipais;-2.269.467;-4.672.208;AVENIDA ANESIO GUIDE;300;;Mesmo dia
9800;APARECIDA;São José dos Campos;2015;9;SETEMBRO;MASCULINO;NOITE;COLISAO;;BICICLETA;60-64;62;CONDUTOR;PUBLICO;SEXTA;Rodovias;-2.286.164.856;-4.523.659.138;BR 116;73;;Mesmo dia
9799;APARECIDA;São José dos Campos;2015;9;SETEMBRO;MASCULINO;MADRUGADA;ATROPELAMENTO;;PEDESTRE;18-24;24;PEDESTRE;PUBLICO;DOMINGO;Rodovias;-2.283.057.633;-4.521.326.957;BR 116;69;;Mesmo dia
51529;APIAI;Itapeva;2015;9;SETEMBRO;MASCULINO;NAO DISPONIVEL;OUTROS;TOMBAMENTO VEÍCULO DE 2 RODAS;MOTOCICLETA;30-34;30;CONDUTOR;PUBLICO;QUINTA;Rodovias;-2.453.456.536;-4.883.383.012;SP 165;182;NÃO HÁ;Mesmo dia
9660;ARACARIGUAMA;Sorocaba;2015;9;SETEMBRO;MASCULINO;NOITE;COLISAO;;MOTOCICLETA;18-24;23;PASSAGEIRO;PUBLICO;DOMINGO;Rodovias;-2.344.402.047;-4.713.179.796;SPA 053/280;1;;Mesmo dia
9659;ARACARIGUAMA;Sorocaba;2015;9;SETEMBRO;MASCULINO;NOITE;COLISAO;;MOTOCICLETA;30-34;33;CONDUTOR;PUBLICO;DOMINGO;Rodovias;-2.344.402.047;-4.713.179.796;SPA 053/280;1;;Mesmo dia
6592;ARACATUBA;Araçatuba;2015;9;SETEMBRO;FEMININO;MANHA;CHOQUE;;AUTOMOVEL;18-24;19;PASSAGEIRO;PUBLICO;DOMINGO;Vias Municipais;-2.121.232.044;-5.044.293.179;AVENIDA BRASILIA;ND;;Mesmo dia
6591;ARACATUBA;Araçatuba;2015;9;SETEMBRO;;NOITE;COLISAO;;BICICLETA;55-59;59;CONDUTOR;PUBLICO;SEXTA;Vias Municipais;-21.188.112;-50.447.301;AVENIDA DOIS DE DEZEMBRO;820;;Mesmo dia
6593;ARACATUBA;Araçatuba;2015;9;SETEMBRO;MASCULINO;NOITE;COLISAO;;BICICLETA;65-69;68;CONDUTOR;PUBLICO;QUARTA;Vias Municipais;-2.120.160.366;-504.635.273;AVENIDA PRESTES MAIA;ND;;Mesmo dia
7146;ARACATUBA;Araçatuba;2015;9;SETEMBRO;MASCULINO;TARDE;NAO DISPONIVEL;;NAO DISPONIVEL;30-34;34;NAO DISPONIVEL;;SEGUNDA;Vias Municipais;-21.205.905;-50.436.446;RUA FLORIANO PEIXOTO;196;;Mesmo dia
7170;ARACATUBA;Araçatuba;2015;9;SETEMBRO;MASCULINO;TARDE;COLISAO;;MOTOCICLETA;45-49;45;CONDUTOR;PUBLICO;DOMINGO;Rodovias;-2.114.619.686;-5.021.326.025;SP 461;40;;Mesmo dia
8610;ARARAQUARA;Central;2015;9;SETEMBRO;MASCULINO;NAO DISPONIVEL;NAO DISPONIVEL;;NAO DISPONIVEL;30-34;34;NAO DISPONIVEL;;SEGUNDA;Vias Municipais;-2.177.164.427;-4.818.613.737;RUA MAJOR CARVALHO FILHO;ND;;Mesmo dia
8824;ARARAQUARA;Central;2015;9;SETEMBRO;MASCULINO;MANHA;NAO DISPONIVEL;;NAO DISPONIVEL;30-34;32;NAO DISPONIVEL;;DOMINGO;Vias Municipais;-21.789.831;-48.179.248;RUA VOLUNTARIOS DA PATRIA;2000;;Mesmo dia
7926;ARARAS;Campinas;2015;9;SETEMBRO;;MANHA;NAO DISPONIVEL;;NAO DISPONIVEL;18-24;23;NAO DISPONIVEL;PUBLICO;QUARTA;Vias Municipais;-223.672.007;-4.740.222.726;PRACA DR. NARCISO GOMES;ND;;Mesmo dia
7927;ARARAS;Campinas;2015;9;SETEMBRO;MASCULINO;NOITE;ATROPELAMENTO;;PEDESTRE;30-34;32;PEDESTRE;PUBLICO;DOMINGO;Vias Municipais;-22.382.051;-47.392.268;AVENIDA PRESIDENTE COSTA E SILVA;518;;Mesmo dia
9025;ARIRANHA;São José do Rio Preto;2015;9;SETEMBRO;MASCULINO;NAO DISPONIVEL;OUTROS;;AUTOMOVEL;65-69;68;CONDUTOR;PUBLICO;QUARTA;Vias Municipais;-2.118.530.352;-4.878.647.717;AVENIDA JOAO COLOMBO;ND;;Mesmo dia
9027;ARIRANHA;São José do Rio Preto;2015;9;SETEMBRO;MASCULINO;NOITE;NAO DISPONIVEL;;AUTOMOVEL;45-49;46;CONDUTOR;PUBLICO;QUARTA;Vias Municipais;-21.193.229;-48.787.759;RODOVIA JOAO COLOMBO;4;;Mesmo dia
9026;ARIRANHA;São José do Rio Preto;2015;9;SETEMBRO;MASCULINO;MADRUGADA;NAO DISPONIVEL;;AUTOMOVEL;18-24;18;CONDUTOR;PUBLICO;SÁBADO;Vias Municipais;-21.193.234;-48.787.737;RODOVIA JOAO COLOMBO;2;;Mesmo dia
6173;ARUJA;Metropolitana de São Paulo;2015;9;SETEMBRO;MASCULINO;MANHA;COLISAO;;AUTOMOVEL;25-29;25;NAO DISPONIVEL;PUBLICO;SÁBADO;Rodovias;-234.187.435;-4.628.300.866;SP 088;36;;Mesmo dia
6174;ARUJA;Metropolitana de São Paulo;2015;9;SETEMBRO;MASCULINO;MADRUGADA;COLISAO;;AUTOMOVEL;18-24;23;PASSAGEIRO;PUBLICO;DOMINGO;Rodovias;-2.339.097.664;-4.632.596.301;BR 116;196;;Mesmo dia
7514;ATIBAIA;Campinas;2015;9;SETEMBRO;MASCULINO;NOITE;OUTROS;;AUTOMOVEL;60-64;61;CONDUTOR;PUBLICO;SÁBADO;Rodovias;-2.310.720.784;-4.651.860.699;SP 065;69;;Mesmo dia
7513;ATIBAIA;Campinas;2015;9;SETEMBRO;MASCULINO;NOITE;COLISAO;;AUTOMOVEL;45-49;49;CONDUTOR;PUBLICO;DOMINGO;Rodovias;-2.309.887.674;-4.655.137.806;SP 065;ND;;Mesmo dia
7149;AVANHANDAVA;Araçatuba;2015;9;SETEMBRO;MASCULINO;TARDE;COLISAO;;AUTOMOVEL;45-49;46;PASSAGEIRO;PUBLICO;SEGUNDA;Vias Municipais;-21.461.674;-49.948.157;VICINAL GENTIL MORAES;3;;Mesmo dia
7148;AVANHANDAVA;Araçatuba;2015;9;SETEMBRO;MASCULINO;TARDE;COLISAO;;AUTOMOVEL;55-59;58;CONDUTOR;PUBLICO;SEGUNDA;Vias Municipais;-21.461.674;-49.948.157;VICINAL GENTIL MORAES;3;;Mesmo dia
9402;AVARE;Sorocaba;2015;9;SETEMBRO;MASCULINO;NOITE;CHOQUE;;AUTOMOVEL;70-74;70;CONDUTOR;PUBLICO;SÁBADO;Vias Municipais;-23.104.816;-48.930.758;AVENIDA PINHEIRO MACHADO;588;;Dia anterior
9401;AVARE;Sorocaba;2015;9;SETEMBRO;MASCULINO;MANHA;COLISAO;;MOTOCICLETA;55-59;57;CONDUTOR;PUBLICO;SÁBADO;Rodovias;-2.310.930.913;-4.894.066.828;SP 245;ND;;Mesmo dia
6779;BARUERI;Metropolitana de São Paulo;2015;9;SETEMBRO;MASCULINO;MANHA;COLISAO;;MOTOCICLETA;45-49;48;CONDUTOR;PUBLICO;QUARTA;Vias Municipais;-2.351.106.413;-4.683.358.555;AVENIDA PIRACEMA;ND;;Mesmo dia
6534;BARUERI;Metropolitana de São Paulo;2015;9;SETEMBRO;MASCULINO;MANHA;COLISAO;;MOTOCICLETA;18-24;24;CONDUTOR;PUBLICO;SÁBADO;Rodovias;-2.350.950.125;-4.681.816.094;SP 280;21;;Mesmo dia
8674;BATATAIS;Franca;2015;9;SETEMBRO;MASCULINO;MANHA;OUTROS;;CAMINHAO;30-34;34;CONDUTOR;PUBLICO;SEXTA;Rodovias;-2.087.218.726;-4.760.393.427;SP 334;351;;Mesmo dia
8673;BATATAIS;Franca;2015;9;SETEMBRO;MASCULINO;MANHA;OUTROS;;CAMINHAO;50-54;50;PASSAGEIRO;PUBLICO;SEXTA;Rodovias;-2.087.218.726;-4.760.393.427;SP 334;351;;Mesmo dia
8672;BATATAIS;Franca;2015;9;SETEMBRO;MASCULINO;MANHA;OUTROS;;CAMINHAO;30-34;31;PASSAGEIRO;PUBLICO;SEXTA;Rodovias;-2.087.218.726;-4.760.393.427;SP 334;351;;Mesmo dia
8671;BATATAIS;Franca;2015;9;SETEMBRO;MASCULINO;MADRUGADA;NAO DISPONIVEL;;NAO DISPONIVEL;40-44;40;NAO DISPONIVEL;;SEGUNDA;Vias Municipais;-2.088.851;-47.586.218;RUA DOUTOR MANOEL FURTADO;1;;Mesmo dia
8675;BATATAIS;Franca;2015;9;SETEMBRO;FEMININO;MANHA;ATROPELAMENTO;;PEDESTRE;50-54;50;PEDESTRE;PUBLICO;DOMINGO;Vias Municipais;-20.888.616;-4.758.368;RUA DOUTOR MANOEL FURTADO;235;;Mesmo dia
7380;BAURU;Bauru;2015;9;SETEMBRO;MASCULINO;MANHA;OUTROS;;MOTOCICLETA;18-24;20;CONDUTOR;PUBLICO;SÁBADO;Vias Municipais;-2.235.618.933;-490.352.197;AVENIDA INACIO CONCEICAO VIEIRA;5;;Mesmo dia
7376;BAURU;Bauru;2015;9;SETEMBRO;MASCULINO;NOITE;COLISAO;;MOTOCICLETA;30-34;30;CONDUTOR;PUBLICO;QUINTA;Rodovias;-2.232.002.547;-4.906.856.044;SP 294;ND;;Até 30 dias
7373;BAURU;Bauru;2015;9;SETEMBRO;FEMININO;NOITE;ATROPELAMENTO;;PEDESTRE;18-24;24;PEDESTRE;PUBLICO;SEXTA;Vias Municipais;-2.232.329.705;-490.783.806;AVENIDA NACOES UNIDAS;ND;;Mais de 30 dias
7379;BAURU;Bauru;2015;9;SETEMBRO;FEMININO;TARDE;COLISAO;;AUTOMOVEL;50-54;52;PASSAGEIRO;PUBLICO;SEGUNDA;Rodovias;-2.233.681.215;-4.906.694.991;SP 225;243;;Mesmo dia
8945;BEBEDOURO;Barretos;2015;9;SETEMBRO;FEMININO;NOITE;ATROPELAMENTO;;PEDESTRE;0-17;3;PEDESTRE;PUBLICO;QUARTA;Vias Municipais;-2.092.408.281;-4.849.822.962;AVENIDA PROJETADA UM;ND;;Mesmo dia
51668;BERNARDINO DE CAMPOS;Marília;2015;9;SETEMBRO;MASCULINO;NAO DISPONIVEL;OUTROS;CAPOTAMENTO;AUTOMOVEL;30-34;30;CONDUTOR;PUBLICO;SÁBADO;Vias Municipais;-23.009.495;-4.942.748;VICINAL MONSENHOR FRANCISCO VANDERMAS;ND;NÃO HÁ;Mesmo dia
6927;BERTIOGA;Baixada Santista;2015;9;SETEMBRO;MASCULINO;NAO DISPONIVEL;COLISAO;;MOTOCICLETA;30-34;32;CONDUTOR;PUBLICO;SÁBADO;Rodovias;-2.378.100.957;-4.600.621.007;SP 055;208;;Mesmo dia
